Str.ID,Str.vardiem.LV,Str.vardiem.EN
A.1.,Administrācija,Administration
A.2.,Finanšu un grāmatvedības daļa,Financial & Accounting Group
A.3.,Personāldaļa,Personnel Office
A.4.,Juridiskā un iepirkumu daļa,Legal & Procurement Group
A.5.,Projektu vadības daļa,Project Administration Management Group
A.6.,Informācijas un komunikācijas daļa,Information and Communication Department
D.1.1.,Cietvielu elektronisko struktūru datormodelēšanas laboratorija,Laboratory of Computer Modeling of Electronic Structure of Solids
D.1.2.,Pašorganizēto sistēmu kinētikas laboratorija,Laboratory of Kinetics in Self-Organizing Systems
D.1.3.,Spektroskopijas laboratorija,Laboratory of Spectroscopy
D.1.4.,Mikroskopijas laboratorija,Microscopy laboratory
D.1.5.,Ķīmijas tehnoloģiju laboratorija,Laboratory of Chemical Technologies
D.1.6.,EXAFS spektroskopijas laboratorija,EXAFS Spectroscopy Laboratory
D.2.1.,Optisko materiālu laboratorija,Laboratory of Optical Materials
D.2.2.,Enerģijas iegūšanas un uzkrāšanas materiālu laboratorija,Laboratory of Materials for Energy Harvesting and Storage
D.2.3.,Organisko materiālu laboratorija,Laboratory of Organic Materials
D.2.4.,Segnetoelektrisko materiālu laboratorija,Laboratory of Ferroelectric Materials
D.2.5.,-Optiskā ieraksta laboratorija,Laboratory of Optical Recording
D.2.6.,Redzes uztveres laboratorija,Laboratory of Visual Perception
D.2.7.,Radiācijas fizikas laboratorija,Laboratory of Radiation Physics
D.3.1.,MATERIZE pārdošanas daļa,MATERIZE Sales Unit
D.3.2.,MATERIZE un ATL vadības daļa,MATERIZE Projects Unit
D.3.3.,Plāno kārtiņu laboratorija,Thin Films Laboratory
D.3.4.,Mikro un nanoierīču laboratorija,Micro and Nanodevices Laboratory
D.3.5.,Zinātniskās un industriālās automātikas daļa,Research and Industrial Automation Group 
D.3.6.,MATERIZE inovāciju daļa,MATERIZE Innovation Unit
M.1.,Infrastruktūras attīstība un uzturēšana,Development & Maintenance Group
M.2.,Tīrtelpu attīstība un uzturēšana,Cleanroom Development & Maintenance Group
M.3.,Drošība un apsaimniekošana,Security & Housekeeping Group
M.4.,Informācijas tehnoloģiju pārvaldība,IT Management Group
